Shrek 2 (2004)	Everett, Rupert	2004
Chocolat (2000)	Taylor-Isherwood, Sally	2000
Sherlock Holmes: A Game of Shadows (2011)	Webber, Michael (II)	2011
Milk (2008/I)	Eisler, Maddie	2008
The Fountain (2006)	Kelsall, Kevin (II)	2006
Trois couleurs: Blanc (1994)	Kaczmarska, Malgorzata	1994
X2 (2003)	Quijada, Alfonso	2003
My Fair Lady (1964)	Leonard, Queenie	1964
Pick-Up Lines 33 (1998) (V)	Swan, Kasorn	1998
All the President's Men (1976)	Alexander, Jane (I)	1976
Narc (2002)	Ortiz, John (I)	2002
The Muppets (2011)	Connolly, Kelly	2011
X-Men (2000)	Jensen, Ben	2000
Ed Wood (1994)	Tai, Arlene	1994
Crna macka, beli macor (1998)	Sparavalo, Dejan	1998
Men in Black (1997)	Gingrich, Newt	1997
Hranjenik (1970)	Angelovski, Nikola-Kole	1970
Lawrence of Arabia (1962)	Dignam, Basil	1962
Labyrinth (1986)	Shaughnessy, David	1986
Superbad (2007)	Fennessey, Michael	2007
Star Trek Into Darkness (2013)	Rhodes, Kentucky	2013
Brick (2005)	Roundtree, Richard	2005
Stranger Than Fiction (2006)	Gyllenhaal, Maggie	2006
Red: The Dark Side (2007)	Saxena, Anuj	2007
Rise of the Dead (2007) (V)	Lavelle, Chris	2007
The Queen (2006)	Pavarotti, Luciano	2006
Paths of Glory (1957)	Turkel, Joe	1957
Munich (2005)	Tabor, Rafael	2005
Enemy of the State (1998)	Manni, Vic	1998
A Clockwork Orange (1971)	Clive, John (I)	1971
Star Wars (1977)	Tierney, Malcolm	1977
Argo (2012)	Oglesby, Randy	2012
All About Eve (1950)	Harris, Leland	1950
Rotting Joy (2007)	Keenan, Dana	2007
Taxi Driver (1976)	Cohn, Harry (II)	1976
The Great Escape (1963)	Coburn, James (I)	1963
Tootsie (1982)	Garr, Teri	1982
Les choristes (2004)	Alibert, Quentin	2004
Rocky (1976)	Tangrea, Robert L.	1976
Die Hard (1988)	Doss, Terri Lynn	1988
Jaws (1975)	Inches, Duncan	1975
Mr. Smith Goes to Washington (1939)	Jaquet, Frank	1939
Return Home (2007)	Khan, Mobin	2007
The Hustler (1961)	Adams, William (II)	1961
The Wrestler (2008)	Whacks	2008
The Grapes of Wrath (1940)	O'Connor, L.F.	1940
Pizza, birra, faso (1998)	Yospe, Adri?n	1998
