343	Catch Me If You Can (2002)
344	
345	Silver Linings Playbook (2012)
346	Almost Famous (2000)
347	The Man from Earth (2007)
348	Crash (2004/I)
349	Glory (1989)
350	Shrek (2001)
351	The Killing Fields (1984)
352	Serenity (2005)
353	The Blues Brothers (1980)
354	La leggenda del pianista sull'oceano (1998)
355	The Notebook (2004)
356	The Fighter (2010/I)
357	Hannah and Her Sisters (1986)
358	Iron Man (2008)
359	Badlands (1973)
360	The Breakfast Club (1985)
361	Once (Eleven) (2007)
362	The Remains of the Day (1993)
363	Argo (2012)
364	The 39 Steps (1935)
365	Trois couleurs: Bleu (1993)
366	Halloween (1978)
367	Drive (2011/I)
368	Little Miss Sunshine (2006)
369	The Girl with the Dragon Tattoo (2011)
370	The Bourne Identity (2002)
371	The Sound of Music (1965)
372	Dip huet seung hung (1989)
373	E.T. the Extra-Terrestrial (1982)
374	Wo hu cang long (2000)
375	Taken (2008/I)
376	Dead Poets Society (1989)
377	The Day the Earth Stood Still (1951)
378	The French Connection (1971)
379	Carlito's Way (1993)
380	The Social Network (2010)
381	
382	The Right Stuff (1983)
383	Glengarry Glen Ross (1992)
384	Lat sau san taam (1992)
385	The Iron Giant (1999)
386	Boogie Nights (1997)
387	Hot Fuzz (2007)
388	Amour (2012)
389	The Outlaw Josey Wales (1976)
390	Ferris Bueller's Day Off (1986)
391	Walk the Line (2005)
392	
393	Rebel Without a Cause (1955)
394	Predator (1987)
395	Dancer in the Dark (2000)
396	My Fair Lady (1964)
397	Todo sobre mi madre (1999)
398	The Birds (1963)
399	Zwartboek (2006)
400	Wreck-It Ralph (2012)
401	Clerks. (1994)
402	Dirty Harry (1971)
403	Scent of a Woman (1992)
404	The Pursuit of Happyness (2006)
405	The Ten Commandments (1956)
406	Office Space (1999)
407	Moonrise Kingdom (2012)
408	Do the Right Thing (1989)
409	The Fall (2006)
410	The Magnificent Seven (1960)
411	Man of Steel (2013)
412	Deliverance (1972)
413	
414	(500) Days of Summer (2009)
415	The Hangover (2009)
416	Misery (1990)
417	Evil Dead II (1987)
418	Lola rennt (1998)
419	The Curious Case of Benjamin Button (2008)
420	The Dirty Dozen (1967)
421	
422	Goldfinger (1964)
423	Kick-Ass (2010)
424	The Boondock Saints (1999)
425	Fantasia (1940)
426	The World's Fastest Indian (2005)
427	My Left Foot: The Story of Christy Brown (1989)
428	
429	American Gangster (2007)
430	
431	Blue Velvet (1986)
432	Ghost Busters (1984)
433	Willy Wonka & the Chocolate Factory (1971)
434	Lilja 4-ever (2002)
435	Airplane! (1980)
436	Tangled (2010)
437	Skyfall (2012)
438	Being John Malkovich (1999)
439	The Fugitive (1993)
440	Batoru rowaiaru (2000)
441	Breaking the Waves (1996)
442	Gattaca (1997)
443	Mr. Nobody (2009)
444	50/50 (2011)
445	Lost in Translation (2003)
446	Changeling (2008)
447	Mississippi Burning (1988)
448	O Brother, Where Art Thou? (2000)
449	3:10 to Yuma (2007)
450	The Last Emperor (1987)
451	Apocalypto (2006)
452	Snow White and the Seven Dwarfs (1937)
453	Diarios de motocicleta (2004)
454	
455	Abre los ojos (1997)
456	Das Experiment (2001)
457	Fantastic Mr. Fox (2009)
458	Serpico (1973)
459	Breakfast at Tiffany's (1961)
460	Donnie Brasco (1997)
461	Atonement (2007)
462	The Longest Day (1962)
463	
464	Finding Neverland (2004)
465	Dark City (1998)
466	True Grit (2010)
